Game result;;1st (64);2nd (55);3rd (45);4th (44);5th (42);6th (41);7th (37);;1st (62);2nd (59);3rd (56);4th (49);5th (48);6th (47);7th (45);;1st (60);2nd (57);3rd (56);4th (53);5th (49);6th (49);7th (42);;1st (68);2nd (61);3rd (52);4th (51);5th (49);6th (48);7th (43);;1st (61);2nd (56);3rd (54);4th (53);5th (53);6th (49);7th (46);;1st (64);2nd (57);3rd (50);4th (48);5th (46);6th (46);7th (36);;1st (65);2nd (54);3rd (50);4th (47);5th (40);6th (39);7th (32);;1st (61);2nd (59);3rd (53);4th (52);5th (50);6th (45);7th (45);;1st (60);2nd (59);3rd (56);4th (53);5th (52);6th (51);7th (40);;1st (58);2nd (57);3rd (56);4th (55);5th (48);6th (48);7th (44);;1st (69);2nd (62);3rd (59);4th (50);5th (48);6th (45);7th (44);;1st (71);2nd (67);3rd (53);4th (49);5th (45);6th (43);7th (39);;1st (64);2nd (57);3rd (49);4th (46);5th (42);6th (42);7th (39);;1st (66);2nd (62);3rd (57);4th (55);5th (48);6th (41);7th (40);;1st (68);2nd (62);3rd (59);4th (54);5th (44);6th (41);7th (39);;1st (61);2nd (59);3rd (56);4th (51);5th (50);6th (36);7th (35);;1st (73);2nd (56);3rd (54);4th (54);5th (53);6th (51);7th (42);;1st (61);2nd (60);3rd (59);4th (56);5th (53);6th (52);7th (46);;1st (62);2nd (61);3rd (57);4th (54);5th (54);6th (51);7th (45);;1st (65);2nd (53);3rd (53);4th (52);5th (49);6th (48);7th (39);;1st (65);2nd (61);3rd (55);4th (54);5th (51);6th (48);7th (48);;1st (62);2nd (56);3rd (56);4th (50);5th (49);6th (48);7th (43);;1st (63);2nd (61);3rd (52);4th (51);5th (48);6th (47);7th (44);;1st (66);2nd (61);3rd (60);4th (58);5th (43);6th (42);7th (40);;1st (60);2nd (60);3rd (58);4th (53);5th (53);6th (44);7th (30);;1st (54);2nd (53);3rd (53);4th (52);5th (50);6th (49);7th (48);;1st (65);2nd (62);3rd (56);4th (54);5th (49);6th (48);7th (40);;1st (69);2nd (67);3rd (64);4th (52);5th (47);6th (42);7th (39);;1st (59);2nd (57);3rd (56);4th (43);5th (41);6th (38);7th (34);;1st (57);2nd (56);3rd (51);4th (51);5th (48);6th (43);7th (42);;1st (65);2nd (56);3rd (54);4th (54);5th (49);6th (47);7th (44);;1st (66);2nd (52);3rd (49);4th (49);5th (48);6th (44);7th (40);;1st (57);2nd (57);3rd (54);4th (50);5th (48);6th (44);7th (32);;1st (59);2nd (51);3rd (48);4th (45);5th (44);6th (44);7th (37);;1st (61);2nd (60);3rd (55);4th (55);5th (54);6th (53);7th (50);;1st (60);2nd (57);3rd (52);4th (51);5th (49);6th (49);7th (43);;1st (58);2nd (56);3rd (56);4th (53);5th (51);6th (50);7th (48);;1st (64);2nd (60);3rd (57);4th (54);5th (52);6th (51);7th (32);;1st (72);2nd (69);3rd (68);4th (58);5th (57);6th (54);7th (38);;1st (59);2nd (59);3rd (53);4th (53);5th (51);6th (49);7th (41);;1st (55);2nd (50);3rd (49);4th (48);5th (42);6th (38);7th (34);;1st (58);2nd (57);3rd (56);4th (51);5th (48);6th (45);7th (44);;1st (59);2nd (58);3rd (54);4th (47);5th (46);6th (39);7th (38);;1st (80);2nd (59);3rd (50);4th (48);5th (48);6th (45);7th (42);;1st (60);2nd (50);3rd (50);4th (49);5th (47);6th (47);7th (43);;1st (57);2nd (56);3rd (54);4th (52);5th (51);6th (51);7th (43);;1st (63);2nd (54);3rd (52);4th (52);5th (50);6th (49);7th (45);;1st (61);2nd (59);3rd (55);4th (53);5th (44);6th (43);7th (10);;1st (65);2nd (62);3rd (60);4th (53);5th (51);6th (44);7th (36);;1st (65);2nd (54);3rd (50);4th (47);5th (47);6th (47);7th (44);;1st (65);2nd (61);3rd (53);4th (49);5th (48);6th (37);7th (24);;1st (73);2nd (67);3rd (57);4th (56);5th (56);6th (51);7th (37);;1st (62);2nd (60);3rd (54);4th (52);5th (50);6th (45);7th (42);;1st (54);2nd (54);3rd (52);4th (50);5th (50);6th (49);7th (46);;1st (58);2nd (54);3rd (54);4th (52);5th (48);6th (47);7th (44);;1st (59);2nd (58);3rd (53);4th (52);5th (46);6th (42);7th (42);;1st (67);2nd (60);3rd (56);4th (51);5th (49);6th (41);7th (34);;1st (70);2nd (65);3rd (55);4th (52);5th (50);6th (44);7th (43);;1st (65);2nd (58);3rd (52);4th (52);5th (51);6th (48);7th (34);;1st (54);2nd (53);3rd (53);4th (52);5th (48);6th (47);7th (44);;1st (74);2nd (64);3rd (61);4th (57);5th (56);6th (48);7th (36);;1st (67);2nd (58);3rd (54);4th (52);5th (51);6th (39);7th (37)
Thinking time;;04:16;03:50;04:35;03:49;05:55;05:12;06:25;;04:10;03:15;04:32;03:12;03:12;05:10;03:38;;04:40;05:40;05:11;04:14;06:54;03:38;06:06;;03:06;04:00;03:52;03:20;03:27;03:39;03:19;;04:59;06:22;04:04;05:12;03:29;04:26;04:05;;04:05;03:08;03:21;03:21;03:57;02:24;04:34;;04:32;05:14;06:00;05:00;04:11;05:50;08:02;;02:49;03:35;02:43;02:46;02:42;03:24;02:38;;06:01;03:10;04:01;04:41;03:40;04:21;03:52;;04:28;03:08;03:00;04:15;03:40;03:37;03:56;;04:17;04:49;04:04;03:26;03:50;04:17;04:33;;02:41;03:48;03:40;02:33;04:55;04:45;02:51;;04:28;03:11;03:07;03:18;02:52;03:37;03:56;;03:09;03:30;03:24;03:38;03:28;05:45;03:23;;04:06;03:43;03:38;02:47;03:38;04:49;05:02;;02:45;03:38;03:13;03:12;04:29;04:03;05:23;;04:12;09:12;03:56;03:17;03:52;05:40;04:42;;03:41;04:05;03:59;02:44;03:55;03:38;03:05;;03:21;02:55;03:34;03:57;05:05;03:47;04:06;;04:04;03:48;04:03;04:28;05:00;04:19;04:03;;03:39;02:45;03:43;04:04;04:00;03:21;03:21;;04:47;05:05;05:24;04:05;04:48;03:55;05:15;;04:08;05:14;05:27;03:31;06:13;04:51;08:09;;02:22;04:33;09:45;03:25;03:14;02:10;05:53;;03:05;03:07;03:24;05:53;06:00;04:22;05:48;;03:57;03:20;03:23;03:51;04:45;04:43;05:41;;03:49;03:36;02:35;04:28;04:38;04:24;04:46;;04:40;03:25;04:23;04:05;04:28;03:05;04:26;;05:10;04:11;04:05;04:11;03:18;04:20;04:31;;03:22;04:31;02:50;03:34;03:01;04:11;04:36;;03:34;05:55;04:08;05:00;03:15;03:43;05:48;;04:53;03:52;03:51;05:13;04:03;03:31;02:29;;04:21;03:55;03:34;02:36;03:38;03:58;04:57;;03:38;04:38;05:13;02:28;03:48;04:32;03:25;;08:54;04:56;03:51;04:35;03:47;04:33;03:34;;05:58;05:28;03:32;04:11;04:55;07:02;04:16;;02:45;04:33;03:34;03:57;03:48;04:26;03:18;;04:42;03:38;03:25;04:15;03:55;04:31;03:04;;04:23;08:10;03:22;06:16;03:14;07:34;03:22;;03:25;02:41;04:48;03:31;03:59;03:57;02:48;;03:25;03:32;02:30;02:20;03:03;03:19;03:08;;03:52;03:27;03:35;03:21;03:00;03:36;04:35;;04:39;04:43;05:48;03:37;04:23;03:27;04:32;;05:13;03:39;04:33;03:56;04:07;05:15;03:36;;05:44;05:17;05:06;06:37;07:00;02:35;05:14;;04:22;03:59;04:11;03:24;04:04;05:32;06:09;;03:47;04:17;03:45;04:31;03:01;05:02;04:51;;03:03;04:57;05:40;04:57;05:25;04:02;05:04;;04:00;04:21;04:56;04:07;04:09;04:36;04:07;;03:53;03:23;03:56;06:18;06:11;04:33;04:59;;04:05;03:13;02:47;03:58;03:43;03:26;04:24;;03:23;02:34;03:45;02:39;03:29;04:14;03:41;;05:29;05:51;04:11;03:10;04:00;04:28;05:09;;03:50;05:22;04:42;06:17;04:28;05:22;06:20;;06:00;04:51;03:31;05:20;05:33;04:45;05:27;;03:48;03:43;04:50;03:47;04:46;05:01;04:07;;04:22;03:03;03:54;03:22;05:30;04:42;04:24;;04:22;07:05;05:28;04:24;04:36;03:37;04:02;;05:13;03:43;04:28;03:39;05:51;03:46;04:02;;04:46;06:25;04:36;03:58;04:48;04:23;04:20;;05:33;05:03;04:01;06:51;06:29;03:18;05:36;;04:44;04:51;07:32;04:43;06:28;05:16;05:02
VP from Military Conflicts (Victory);;14;14;5;9;0;6;5;;16;0;12;8;0;8;11;;10;8;4;10;5;8;9;;0;16;13;9;0;16;5;;18;0;8;14;8;7;0;;1;4;12;5;8;7;17;;13;8;6;15;0;10;6;;16;10;13;0;13;0;10;;13;14;13;0;0;18;5;;13;14;10;7;5;0;13;;13;9;5;3;0;8;18;;0;18;0;9;16;9;8;;8;17;2;5;8;3;5;;13;18;3;6;3;13;5;;16;0;14;8;0;6;14;;11;10;12;0;9;0;10;;18;17;9;0;16;0;0;;13;10;0;11;3;17;3;;13;8;0;5;8;5;17;;12;6;11;6;3;3;12;;0;8;1;18;14;16;0;;16;10;1;16;6;0;3;;0;18;8;15;9;1;8;;10;3;0;18;0;17;9;;0;8;1;17;9;17;5;;0;9;16;9;10;13;0;;14;18;16;8;1;0;0;;9;0;18;16;8;6;3;;9;0;18;13;0;4;6;;18;9;12;9;10;0;0;;1;10;0;16;10;11;5;;17;8;0;18;14;0;0;;8;8;2;12;13;15;1;;3;5;17;4;6;14;8;;0;10;14;13;5;16;0;;11;15;9;18;1;8;0;;8;0;17;2;5;17;3;;3;11;13;3;8;17;0;;0;17;10;0;12;8;10;;13;14;0;11;4;10;5;;9;3;11;5;0;10;11;;8;9;13;4;17;0;10;;11;17;14;0;8;0;0;;17;13;12;0;0;13;2;;18;0;0;9;10;11;10;;10;6;4;18;9;10;0;;17;14;9;0;3;17;0;;14;4;16;5;13;0;0;;17;13;0;3;0;13;11;;13;12;15;11;10;0;0;;12;18;14;0;0;9;5;;6;13;14;0;1;13;0;;18;0;9;0;8;14;5;;8;0;8;13;1;14;5;;17;8;3;5;4;5;18;;12;8;14;14;0;1;0;;11;12;8;0;13;7;6;;8;1;10;17;8;0;10;;16;11;0;17;5;2;6;;13;3;13;7;5;0;13;;9;13;17;13;0;10;0;;0;15;16;10;3;5;0
VP from Military Conflicts (Defeat);;-1;0;-3;-1;-4;-2;-4;;0;-4;-1;-2;-4;-3;-1;;-1;-3;-3;-1;-4;-2;-2;;-5;0;-1;-2;-5;0;-4;;0;-4;-3;-1;-3;-1;-5;;-2;-1;-2;-5;-4;-3;-1;;-2;-2;-4;-1;-4;-2;-3;;-1;-2;-1;-6;-1;-5;-4;;-1;-2;-1;-6;-6;0;-5;;-1;-1;-4;-2;-3;-6;-3;;0;-2;-3;-4;-6;-3;0;;-6;0;-6;-2;0;-2;-2;;-4;0;-4;0;-2;-3;-3;;-1;0;-5;-3;-4;-2;-4;;0;-5;-1;-2;-5;-2;-1;;-1;-1;-1;-6;-1;-5;-1;;0;0;-2;-6;0;-6;-4;;-1;-2;-6;-2;-3;0;-3;;0;-2;-5;-4;-3;-3;-1;;0;-4;-1;-2;-4;-4;-2;;-6;-3;-3;0;0;-1;-4;;-2;-1;-4;0;-2;-2;-3;;-5;0;-3;0;-2;-5;-4;;-1;-4;-4;0;-6;0;-2;;-5;-3;-3;0;-2;0;-4;;-4;-2;0;-2;-2;-1;-6;;0;0;0;-4;-3;-5;-5;;-2;-5;0;-1;-3;-3;-4;;-1;-3;0;-3;-3;-4;-2;;0;-2;-1;-3;-2;-6;-4;;-4;-2;-4;-2;-1;-1;-3;;0;-1;-4;0;0;-6;-6;;-2;-4;-4;-2;-1;-1;-5;;-2;-5;0;-3;-3;0;-4;;-6;-2;-2;-1;-3;-1;-3;;-3;-1;-3;0;-4;-3;-6;;0;-5;-1;-4;-1;-1;-4;;-3;-2;0;-3;-2;0;-5;;-6;0;-2;-4;-1;-2;-2;;-1;0;-6;-1;-2;-3;-4;;-1;-4;-2;-3;-2;0;-1;;-4;-2;-1;-3;0;-6;-3;;-2;0;-1;-3;-2;-2;-4;;0;-1;-1;-4;-4;-3;-4;;0;-6;-6;-1;-1;-2;-2;;-1;-2;-4;0;-3;-3;-4;;0;-1;-2;-6;-3;0;-6;;-2;-1;-1;-3;-2;-2;-5;;0;-1;-5;-3;-5;0;-3;;-1;-1;-1;-2;-3;-5;-6;;-1;0;0;-6;-5;-1;-5;;-2;0;0;-2;-3;-1;-5;;0;-6;-1;-4;-3;0;-2;;-1;-6;-1;-1;-4;0;-2;;0;-2;-4;-5;-3;-4;0;;-1;-1;-1;0;-3;-4;-5;;-2;-2;-2;-5;-1;-3;-2;;-2;-5;-2;-1;-1;-5;-2;;-1;-3;-4;0;-2;-4;-3;;-3;-3;-1;-3;-2;-6;0;;-2;-1;0;-1;-6;-4;-6;;-3;-1;0;0;-3;-3;-5
VP from Treasury Contents;;4;5;0;3;11;0;2;;4;0;7;5;1;5;1;;11;9;2;1;2;0;4;;2;5;4;4;9;1;3;;7;8;4;7;2;0;8;;2;4;0;5;5;2;4;;13;3;7;3;3;2;0;;10;0;3;5;7;9;2;;3;4;8;9;3;7;10;;8;6;5;9;3;2;1;;2;6;5;1;4;0;3;;6;7;3;0;6;10;6;;7;7;1;9;7;1;1;;4;2;4;5;1;7;8;;8;1;6;6;6;4;4;;6;5;2;2;3;1;2;;7;2;5;1;4;6;5;;2;3;4;2;3;10;6;;3;6;3;10;5;3;3;;11;2;1;11;3;6;1;;5;8;4;2;8;6;4;;9;11;2;4;2;2;5;;0;5;6;6;6;7;4;;1;9;3;9;4;2;9;;8;0;8;8;2;8;2;;5;8;2;8;4;4;1;;0;4;8;1;2;4;6;;2;3;5;8;3;2;7;;11;2;5;0;10;3;6;;6;5;5;2;2;5;0;;0;2;10;8;11;7;1;;4;7;5;4;4;1;1;;4;2;9;3;6;6;5;;3;9;2;7;6;3;1;;3;6;6;1;4;9;2;;5;4;8;1;4;3;7;;6;8;6;2;0;5;3;;2;3;0;13;9;7;5;;7;2;2;2;2;3;9;;6;0;3;1;5;4;6;;8;2;2;6;5;5;1;;0;7;3;2;9;5;4;;2;12;7;7;3;3;3;;0;6;3;8;5;4;1;;1;5;4;6;3;3;4;;4;13;5;2;4;0;2;;6;7;4;1;10;5;9;;11;2;2;8;2;5;14;;3;7;7;8;2;5;5;;5;2;3;4;4;3;2;;6;5;5;7;0;3;8;;3;9;1;6;1;8;5;;1;4;5;4;3;2;5;;3;0;7;3;1;5;5;;3;7;4;2;5;2;5;;3;7;12;2;5;4;1;;4;5;2;11;4;7;0;;2;2;4;5;1;2;6;;7;1;6;5;7;7;3;;5;5;2;9;4;2;3;;2;9;2;2;6;8;8;;6;4;2;10;1;1;4
VP from Wonder;;10;7;10;10;5;7;8;;3;7;7;10;3;10;10;;3;5;3;3;10;0;20;;3;3;10;7;20;5;10;;5;10;7;7;3;20;3;;3;3;5;3;2;7;3;;3;5;3;7;10;20;10;;3;10;3;2;5;3;7;;7;2;5;20;10;7;3;;5;10;20;7;3;7;2;;20;3;10;3;10;5;10;;0;5;20;3;7;3;5;;10;20;3;5;10;7;2;;5;10;2;10;3;3;20;;0;3;7;20;2;10;5;;20;5;7;0;3;3;10;;7;10;10;8;7;3;5;;10;3;3;7;5;5;20;;10;3;3;20;0;3;5;;8;7;3;5;10;10;0;;3;20;3;3;2;7;5;;10;15;3;7;10;3;10;;0;10;7;7;3;10;8;;5;20;3;5;3;7;7;;10;10;20;7;3;7;3;;10;7;5;7;8;3;3;;0;7;5;20;10;7;10;;3;3;7;10;5;20;3;;3;2;10;10;20;10;3;;5;10;10;7;0;7;3;;3;10;7;5;3;0;15;;10;3;3;3;3;10;10;;15;3;7;3;3;5;5;;3;7;3;20;5;10;10;;3;3;7;5;20;7;3;;3;5;3;7;3;0;20;;3;20;7;3;7;5;10;;3;3;0;5;10;7;13;;3;3;5;20;7;7;5;;7;15;3;10;3;3;10;;5;3;5;20;3;7;3;;3;7;3;10;5;3;13;;2;10;7;10;7;8;3;;3;10;7;10;3;8;7;;3;20;5;3;10;0;7;;10;3;20;10;7;3;5;;7;10;8;10;7;10;3;;20;3;10;10;10;0;0;;0;10;3;10;3;15;7;;7;10;8;5;3;3;7;;10;3;7;3;20;3;10;;3;10;7;5;3;10;20;;10;20;10;3;0;3;10;;5;3;10;3;10;0;15;;3;7;20;10;3;3;7;;10;7;7;13;5;3;2;;3;7;10;5;3;3;13;;0;3;5;7;10;7;8;;10;3;8;7;3;7;5;;7;3;3;3;13;0;3;;3;10;7;13;3;7;3;;10;10;3;7;20;3;5
VP from Civilian Structures;;21;14;3;15;13;14;22;;14;6;22;17;21;11;16;;24;22;9;6;20;11;7;;6;18;11;20;15;0;14;;11;35;33;19;9;0;0;;4;35;14;0;17;17;13;;14;25;28;10;0;5;6;;11;0;17;8;10;17;22;;13;10;7;15;13;16;15;;13;9;16;0;0;22;27;;5;10;25;15;15;20;8;;4;14;18;33;14;6;7;;36;8;12;14;9;11;7;;13;25;0;29;19;18;5;;18;8;29;17;10;12;9;;3;21;36;12;26;7;4;;27;11;3;12;24;13;20;;29;3;10;14;29;4;11;;0;28;5;11;19;32;14;;24;25;10;8;6;24;14;;15;14;12;24;23;9;14;;18;6;18;13;26;6;16;;0;11;20;13;15;24;26;;10;22;8;7;37;16;7;;11;38;12;17;16;6;0;;6;18;8;11;30;16;7;;28;20;8;9;17;13;6;;2;6;15;19;24;14;11;;15;13;15;14;0;17;21;;13;15;15;24;17;6;5;;10;25;7;17;5;7;21;;11;20;6;18;18;3;22;;10;0;15;24;20;19;16;;4;21;13;6;20;15;15;;3;0;24;20;13;17;12;;10;15;18;13;13;26;7;;4;21;11;0;22;4;26;;11;13;18;7;9;8;13;;7;24;0;26;16;22;14;;21;22;6;15;22;4;6;;18;18;8;20;12;6;17;;8;30;16;24;6;12;11;;16;0;16;19;22;0;19;;0;22;27;16;21;6;13;;4;21;12;8;12;14;13;;29;6;18;6;13;10;31;;3;15;20;31;24;8;0;;9;4;23;24;5;25;0;;29;6;5;13;3;6;10;;24;17;19;11;12;20;6;;22;15;12;12;27;0;0;;8;10;35;24;0;11;5;;18;19;15;21;4;12;18;;23;3;3;21;18;26;19;;8;20;28;6;11;25;0;;27;28;12;15;0;13;12;;0;19;12;23;22;10;17;;10;5;25;18;5;36;12;;22;0;34;9;6;23;12;;12;0;18;0;25;24;17;;0;20;12;30;12;22;21;;4;24;4;21;16;17;19
VP from Scientific Structures;;16;0;25;0;1;16;0;;1;50;0;0;21;0;0;;0;0;31;18;16;31;0;;62;0;1;0;1;13;0;;0;0;1;0;31;0;31;;43;0;0;26;18;0;0;;0;0;2;10;31;4;10;;0;38;0;31;0;18;1;;0;31;0;0;29;0;0;;0;9;0;0;36;9;4;;0;31;9;13;18;0;0;;55;0;0;0;0;4;13;;0;0;25;0;0;10;21;;0;0;50;0;18;0;0;;0;55;1;0;21;0;0;;0;0;0;26;0;26;10;;0;0;29;31;0;25;0;;0;36;48;0;16;0;0;;0;0;48;0;16;0;0;;0;0;13;0;25;0;10;;48;0;26;0;0;0;9;;0;0;34;1;0;36;0;;62;0;0;0;0;0;0;;25;0;36;0;0;0;0;;10;0;0;0;21;1;18;;31;1;10;0;0;0;43;;18;0;0;0;13;26;21;;55;48;0;0;0;0;1;;10;43;0;9;2;0;0;;0;13;10;0;0;31;36;;55;0;26;0;18;0;0;;0;0;36;0;0;36;13;;0;48;0;0;0;0;0;;48;0;9;0;0;0;0;;48;25;0;0;0;1;26;;26;0;13;0;13;13;0;;10;0;0;50;10;10;10;;48;10;26;0;0;0;2;;55;0;47;0;4;0;0;;0;0;47;10;0;31;0;;0;21;13;0;1;10;0;;43;0;0;1;0;21;0;;10;10;0;4;0;26;13;;48;0;0;0;9;9;16;;31;0;16;10;0;21;0;;0;1;0;16;10;25;0;;13;0;0;16;0;0;21;;0;18;2;0;0;0;1;;1;0;47;1;38;0;1;;0;10;0;16;18;18;13;;0;0;10;21;0;16;0;;55;0;0;0;48;0;1;;0;0;16;26;36;4;0;;0;48;25;1;0;4;0;;16;0;0;17;26;4;2;;0;0;0;1;26;18;25;;47;16;26;0;0;0;0;;48;55;0;4;1;4;2;;0;31;0;0;26;1;0;;9;38;0;10;0;20;0;;62;0;0;0;18;0;0;;50;0;18;0;0;16;0
VP from Commercial Structures;;0;0;0;3;6;0;0;;5;0;9;6;0;0;0;;5;6;0;0;0;1;4;;0;0;5;2;9;0;0;;5;3;4;0;3;4;9;;3;5;0;6;0;0;0;;8;0;4;3;0;0;3;;6;0;9;5;3;3;0;;4;0;3;6;3;3;5;;6;3;0;11;4;3;0;;0;5;0;0;7;0;5;;4;9;4;0;2;8;2;;7;5;0;7;3;0;6;;3;7;3;8;0;2;2;;2;0;3;0;2;5;3;;12;4;0;2;0;0;0;;3;6;0;0;2;4;3;;0;0;0;0;0;7;9;;0;6;3;4;0;4;2;;0;3;0;15;6;3;4;;0;6;4;0;4;3;10;;0;10;2;3;0;3;5;;0;0;3;0;9;6;2;;0;11;0;9;5;0;6;;7;0;4;4;4;5;0;;0;7;0;9;0;6;0;;5;0;7;0;4;3;2;;0;2;3;0;0;3;10;;12;0;0;0;4;8;0;;8;0;0;2;4;0;0;;0;0;8;4;3;9;5;;7;7;3;0;2;0;0;;9;0;8;4;7;0;0;;0;0;0;11;10;2;0;;4;11;6;3;0;4;2;;0;4;4;3;4;2;8;;11;4;5;0;0;8;0;;0;3;0;9;9;5;4;;6;3;6;5;0;2;2;;4;0;0;0;5;0;8;;11;0;0;0;9;0;3;;0;6;4;0;11;10;0;;0;0;7;3;0;4;4;;0;0;2;9;8;0;0;;3;0;3;8;3;0;11;;5;11;4;0;2;0;6;;3;9;0;0;9;0;12;;9;5;3;3;3;6;0;;0;3;3;7;4;5;0;;0;4;0;0;3;8;0;;0;7;5;4;0;7;0;;0;3;0;7;6;6;2;;1;7;0;2;2;2;0;;4;3;0;10;0;0;4;;4;3;3;0;2;5;2;;0;7;9;3;2;2;0;;4;3;0;6;0;3;0;;0;4;0;2;0;0;0;;5;0;3;7;0;5;3;;3;0;5;10;3;0;4;;0;7;4;0;9;5;2;;0;0;3;4;4;0;0
VP from Guilds;;0;15;5;5;10;0;4;;19;0;0;5;6;16;8;;8;10;10;16;0;0;0;;0;19;9;11;0;13;15;;15;4;0;7;0;19;0;;10;7;21;8;0;16;0;;16;15;4;0;0;0;0;;16;3;9;7;13;0;7;;21;0;21;9;0;0;7;;14;7;9;23;0;11;0;;29;0;8;19;0;15;0;;8;14;14;6;0;5;0;;0;0;10;6;7;13;0;;29;0;0;0;8;0;4;;24;0;0;5;8;6;5;;10;15;0;15;10;4;0;;11;10;0;8;0;6;13;;8;7;0;24;0;9;0;;36;12;0;8;9;7;5;;10;14;16;9;0;6;0;;0;8;8;7;0;8;10;;11;5;0;6;7;0;7;;6;17;11;10;8;4;0;;16;0;14;10;0;0;4;;19;7;16;0;0;0;6;;6;5;12;10;0;8;0;;0;13;12;20;5;0;0;;0;10;16;0;10;0;8;;0;0;8;0;8;0;0;;7;6;0;10;17;0;2;;0;11;0;6;0;14;0;;17;8;0;6;7;0;0;;13;0;17;6;0;0;10;;0;14;4;0;0;0;7;;6;7;0;14;15;0;8;;8;15;0;9;15;0;7;;16;8;11;0;8;2;0;;0;19;0;20;9;7;0;;0;20;0;9;17;14;0;;9;8;0;7;14;0;10;;5;7;12;0;14;0;0;;0;0;18;13;0;0;9;;20;9;4;7;8;0;0;;12;9;0;9;6;8;7;;0;10;16;6;10;0;0;;0;18;7;0;9;6;3;;14;0;13;0;0;9;6;;0;24;0;6;13;9;0;;15;24;0;14;6;0;5;;17;0;6;2;0;0;22;;16;13;0;8;6;0;6;;0;22;0;16;0;4;9;;14;16;0;0;0;8;6;;12;3;0;0;24;0;0;;7;11;0;17;0;7;10;;8;2;0;4;11;5;7;;0;0;0;11;8;14;0;;4;0;13;0;26;0;7;;6;15;5;7;6;7;8;;8;7;13;16;0;7;4;;0;6;19;0;14;0;8;;0;6;8;0;10;0;14
Constructed stages of the Wonder;;3;2;3;3;3;3;2;;1;3;2;3;1;3;3;;1;3;3;2;3;1;4;;2;1;3;3;4;3;3;;2;3;2;3;3;4;3;;3;1;2;3;1;3;1;;3;3;2;3;3;4;3;;2;3;1;1;3;3;3;;2;1;3;4;3;3;2;;3;3;4;2;3;3;1;;4;3;3;2;3;2;3;;0;3;4;1;3;3;2;;3;4;2;2;3;3;1;;3;3;1;3;3;2;4;;0;3;3;4;1;3;3;;4;3;2;0;3;3;3;;3;3;3;2;2;3;3;;3;3;3;3;2;3;4;;3;1;3;4;1;2;3;;2;3;3;3;3;3;0;;2;4;3;1;1;3;3;;3;3;3;3;3;1;3;;0;3;3;2;1;3;2;;2;4;3;3;2;3;2;;3;3;4;2;3;3;3;;3;3;3;2;2;2;3;;0;2;3;4;3;3;3;;3;3;3;3;3;4;2;;3;1;3;3;4;3;2;;3;3;3;2;0;3;2;;2;3;3;2;3;0;3;;3;1;1;2;2;3;3;;3;3;3;1;2;2;3;;3;3;3;4;2;3;3;;2;3;2;2;4;3;2;;3;2;1;3;3;1;4;;3;4;2;2;3;3;3;;3;3;2;3;3;2;3;;3;3;2;4;3;2;2;;2;3;1;3;1;3;3;;3;2;2;4;3;3;2;;2;3;1;3;3;3;3;;1;3;2;3;3;2;3;;3;3;2;3;3;2;3;;3;4;3;2;3;0;3;;3;3;4;3;3;2;2;;3;3;2;3;2;3;3;;4;3;3;3;3;0;0;;0;3;3;3;3;3;3;;2;3;2;3;3;3;3;;3;1;3;2;4;3;3;;2;3;3;3;3;3;4;;3;4;3;3;0;2;3;;3;3;3;2;3;0;3;;2;3;4;3;3;2;2;;3;3;2;3;3;3;1;;2;3;3;3;1;2;3;;0;2;2;2;3;3;2;;3;3;2;2;2;3;3;;3;2;1;3;3;0;2;;3;3;3;3;3;2;2;;3;3;3;3;4;3;3
