Game result;;1st (63);2nd (51);3rd (50);4th (49);;1st (63);2nd (58);3rd (52);4th (44);;1st (65);2nd (63);3rd (52);4th (51);;1st (60);2nd (49);3rd (47);4th (34);;1st (56);2nd (55);3rd (51);4th (50);;1st (66);2nd (62);3rd (53);4th (49);;1st (65);2nd (59);3rd (55);4th (35);;1st (66);2nd (53);3rd (50);4th (42);;1st (52);2nd (51);3rd (46);4th (40);;1st (62);2nd (56);3rd (52);4th (50);;1st (69);2nd (57);3rd (49);4th (47);;1st (66);2nd (63);3rd (56);4th (32);;1st (63);2nd (62);3rd (53);4th (49);;1st (69);2nd (61);3rd (49);4th (49);;1st (66);2nd (53);3rd (52);4th (46);;1st (60);2nd (56);3rd (55);4th (35);;1st (58);2nd (53);3rd (49);4th (35);;1st (62);2nd (60);3rd (58);4th (41);;1st (57);2nd (53);3rd (44);4th (41);;1st (53);2nd (53);3rd (52);4th (49);;1st (58);2nd (56);3rd (52);4th (50);;1st (66);2nd (59);3rd (57);4th (55);;1st (64);2nd (49);3rd (46);4th (42);;1st (61);2nd (58);3rd (52);4th (40);;1st (62);2nd (58);3rd (54);4th (41);;1st (59);2nd (54);3rd (51);4th (42);;1st (76);2nd (57);3rd (56);4th (51);;1st (62);2nd (54);3rd (53);4th (46);;1st (64);2nd (56);3rd (49);4th (46);;1st (67);2nd (65);3rd (46);4th (36);;1st (70);2nd (50);3rd (48);4th (45);;1st (61);2nd (57);3rd (54);4th (42);;1st (66);2nd (59);3rd (50);4th (50);;1st (64);2nd (62);3rd (51);4th (41);;1st (64);2nd (62);3rd (56);4th (39);;1st (68);2nd (50);3rd (49);4th (44);;1st (62);2nd (62);3rd (59);4th (51);;1st (60);2nd (60);3rd (56);4th (46);;1st (63);2nd (51);3rd (48);4th (46);;1st (73);2nd (58);3rd (53);4th (35);;1st (57);2nd (56);3rd (47);4th (42);;1st (61);2nd (53);3rd (48);4th (44);;1st (59);2nd (50);3rd (47);4th (40);;1st (60);2nd (59);3rd (51);4th (50);;1st (67);2nd (56);3rd (49);4th (42);;1st (55);2nd (51);3rd (48);4th (41);;1st (61);2nd (59);3rd (58);4th (43);;1st (65);2nd (58);3rd (49);4th (45);;1st (77);2nd (59);3rd (56);4th (50);;1st (54);2nd (54);3rd (52);4th (39);;1st (51);2nd (50);3rd (49);4th (47);;1st (62);2nd (60);3rd (46);4th (34);;1st (56);2nd (55);3rd (51);4th (50);;1st (63);2nd (57);3rd (54);4th (40);;1st (56);2nd (50);3rd (45);4th (45)
Thinking time;;07:48;04:42;07:37;03:26;;09:19;10:17;06:19;05:07;;11:26;09:10;04:03;03:48;;06:43;05:19;05:01;07:06;;05:16;04:34;06:55;06:02;;03:44;07:15;04:43;05:27;;03:27;04:27;02:56;03:41;;03:29;03:29;05:46;05:13;;04:07;04:21;05:34;05:38;;03:34;03:49;04:01;04:16;;03:22;05:09;05:49;06:03;;04:37;04:36;03:28;04:03;;05:10;03:32;04:30;03:43;;05:45;04:23;04:37;03:54;;04:59;03:52;06:09;03:28;;03:35;03:12;02:33;02:34;;06:36;03:58;05:17;04:01;;04:11;05:53;04:44;03:47;;04:15;03:04;04:20;03:31;;04:23;05:39;07:30;03:55;;04:52;05:59;08:12;11:46;;04:07;03:41;05:01;04:43;;05:07;04:59;04:10;03:15;;04:02;04:36;03:56;04:21;;03:27;04:10;04:45;04:56;;06:02;04:21;04:51;05:13;;03:34;04:00;04:21;05:16;;04:36;05:42;04:28;04:11;;06:40;05:51;05:07;03:26;;03:27;03:38;04:01;04:32;;05:35;04:35;04:23;05:06;;03:28;04:05;04:41;03:27;;05:51;05:37;03:57;05:17;;05:06;03:18;05:36;04:49;;04:59;03:33;06:02;03:42;;04:16;04:00;04:22;05:18;;04:26;05:30;04:40;04:59;;05:19;04:50;04:15;04:14;;03:51;05:03;03:05;04:56;;02:39;03:07;04:57;03:56;;02:53;02:46;03:04;03:52;;03:59;03:13;04:42;04:41;;03:54;03:12;03:15;02:43;;03:41;03:40;05:00;03:52;;03:59;05:02;05:01;03:23;;03:22;03:58;05:08;05:47;;04:42;03:44;03:49;03:56;;03:03;03:46;04:13;03:43;;03:42;03:40;03:52;03:19;;03:48;03:21;04:29;04:16;;05:19;03:51;04:52;03:23;;03:27;06:14;04:53;03:42;;03:52;04:33;03:01;03:49;;03:15;04:01;06:57;06:27;;03:21;04:13;04:03;04:11
VP from Military Conflicts (Victory);;12;2;11;10;;0;17;17;0;;17;3;5;11;;11;2;6;5;;8;14;12;0;;0;9;15;8;;14;17;0;0;;13;13;0;0;;5;14;5;8;;17;14;0;0;;9;0;14;12;;17;0;17;0;;8;0;9;17;;18;12;0;5;;17;9;0;5;;18;1;8;9;;13;13;4;5;;0;15;18;3;;12;4;13;0;;8;0;13;14;;9;0;18;9;;17;0;10;8;;13;6;4;13;;0;17;13;0;;18;5;8;5;;1;10;5;8;;18;18;0;0;;8;10;2;8;;18;16;1;1;;1;16;8;1;;3;12;6;10;;10;0;17;0;;9;11;0;14;;4;13;13;5;;0;16;10;0;;0;13;5;11;;18;0;15;3;;17;16;0;2;;13;10;0;10;;0;13;9;14;;0;18;1;16;;13;5;9;0;;18;9;5;0;;0;9;9;18;;18;17;0;0;;13;10;5;5;;6;17;8;3;;3;18;5;9;;5;5;17;8;;12;13;3;6;;15;0;9;8;;18;17;0;0;;17;18;0;0;;13;18;0;5;;0;10;8;8
VP from Military Conflicts (Defeat);;-2;-4;-2;-3;;-6;0;0;-4;;-1;-5;-3;-3;;-3;-3;-1;-1;;-3;-1;-1;-5;;-5;-2;0;-3;;0;0;-3;-6;;0;0;-4;-2;;-3;0;-5;-2;;0;0;-6;-3;;-3;-6;-1;-1;;0;-6;0;-4;;-3;-5;-2;0;;0;-1;-5;-5;;0;-2;-4;-3;;0;-5;-4;-3;;-2;-1;-4;-4;;-6;-1;0;-5;;-1;-2;-2;-4;;-3;-5;-1;-2;;-3;-6;0;-3;;0;-6;-2;-3;;-1;-4;-4;-3;;-5;0;0;-5;;0;-3;-4;-5;;-3;0;-3;-2;;0;0;-6;-6;;-2;0;-4;-4;;0;-2;-5;-5;;-4;-2;0;-2;;-3;-1;-3;-2;;-2;-3;-1;-3;;-2;-1;-6;-1;;-4;-1;-2;-4;;-3;0;0;-3;;-3;-1;-2;-1;;0;-6;-1;-5;;-1;-1;-5;-4;;-1;-1;-6;-3;;-6;-1;-3;-2;;-5;0;-5;-1;;-1;-2;-2;-4;;0;-1;-5;-4;;-6;-3;-3;0;;0;0;-5;-6;;-2;-1;-3;-5;;-3;0;-4;-3;;-4;0;-4;-3;;-5;-3;0;-3;;-1;-1;-5;-3;;0;-5;-2;-3;;0;0;-5;-6;;0;0;-6;-5;;-1;0;-6;-5;;-5;0;-2;-1
VP from Treasury Contents;;2;5;5;3;;0;6;4;8;;4;6;4;1;;1;2;12;3;;7;1;3;4;;1;2;6;4;;8;5;1;1;;8;2;0;4;;2;4;3;7;;1;3;3;6;;5;5;4;7;;8;0;3;8;;1;0;5;6;;7;8;2;1;;5;6;2;3;;2;8;7;6;;3;7;4;6;;3;5;7;3;;9;5;3;4;;9;3;6;5;;3;2;5;7;;10;0;4;0;;2;10;3;0;;4;1;4;5;;8;1;5;3;;4;0;6;1;;5;9;4;3;;11;2;0;4;;0;0;7;7;;7;7;1;6;;9;1;5;3;;5;0;11;6;;0;5;7;5;;6;8;1;1;;1;6;5;7;;5;3;2;7;;3;1;5;0;;10;8;1;2;;8;6;1;5;;1;5;6;3;;3;6;1;11;;1;4;2;6;;4;0;2;0;;5;2;1;6;;7;2;1;7;;2;7;4;2;;4;8;1;4;;1;6;10;3;;0;4;6;8;;5;4;3;2;;6;1;2;4;;6;8;7;1;;4;4;3;3;;6;6;4;1;;6;4;4;2
VP from Wonder;;7;10;3;20;;3;7;5;7;;10;7;20;5;;0;7;5;5;;7;5;10;20;;5;20;3;7;;3;7;20;3;;5;7;3;3;;3;7;7;5;;7;3;3;20;;10;10;7;20;;7;3;20;5;;20;3;7;5;;7;3;20;7;;7;10;7;10;;10;5;20;10;;20;10;5;10;;3;5;10;7;;7;10;7;3;;7;10;5;7;;5;3;7;20;;7;3;3;7;;3;10;7;13;;3;5;10;7;;7;0;10;10;;3;15;3;7;;5;7;10;20;;20;3;10;0;;3;3;5;7;;3;20;0;5;;13;2;3;10;;7;5;7;20;;3;7;0;10;;20;5;3;10;;3;7;10;20;;5;7;20;5;;20;3;3;7;;7;7;5;3;;3;7;2;7;;2;7;3;10;;5;3;7;0;;20;10;7;3;;7;7;2;10;;0;15;10;7;;10;5;10;10;;10;0;3;3;;3;3;5;10;;2;7;13;7;;3;10;3;10;;7;7;3;3;;7;3;10;20;;10;3;20;3;;10;10;5;20;;10;7;5;10;;10;7;10;5
VP from Civilian Structures;;18;0;25;9;;18;15;9;17;;20;3;16;12;;13;29;10;4;;18;0;19;9;;0;16;27;9;;24;10;16;6;;28;15;9;6;;12;13;7;6;;12;18;14;8;;23;9;13;0;;18;6;5;18;;17;0;24;6;;25;19;5;3;;18;19;4;22;;22;23;5;6;;11;12;25;12;;17;8;17;12;;17;17;5;16;;16;19;12;12;;18;6;14;0;;14;14;11;13;;14;17;8;15;;0;15;9;33;;10;0;28;14;;9;16;20;7;;23;10;0;18;;11;6;28;5;;5;3;23;29;;14;5;18;8;;19;8;9;13;;35;8;0;11;;4;23;21;8;;20;18;5;3;;0;24;3;13;;6;20;18;8;;21;3;13;26;;15;13;2;26;;10;26;8;10;;0;20;27;9;;11;15;21;4;;18;0;20;12;;9;26;0;22;;0;25;15;6;;9;24;0;26;;18;26;12;5;;16;16;26;2;;7;17;3;23;;10;19;5;22;;3;13;17;8;;10;11;17;8;;15;16;13;15;;13;9;11;22;;13;14;20;3;;10;12;15;19
VP from Scientific Structures;;0;38;0;10;;48;0;0;0;;1;43;0;0;;38;0;0;5;;1;13;0;18;;48;4;0;1;;16;1;0;26;;0;10;38;10;;31;0;13;1;;0;9;38;0;;0;31;0;0;;0;48;0;0;;0;64;0;0;;0;4;0;38;;0;1;31;4;;0;0;0;0;;0;0;0;1;;36;0;0;13;;0;0;18;10;;0;26;0;0;;0;48;0;0;;0;48;26;0;;4;0;25;0;;55;1;0;0;;0;55;0;0;;36;0;0;13;;0;0;48;0;;0;25;0;33;;18;36;0;0;;34;0;5;18;;0;28;13;0;;0;31;0;0;;38;0;13;0;;0;0;31;26;;55;0;16;0;;55;0;0;0;;0;55;9;0;;0;0;38;0;;0;0;43;0;;76;0;0;1;;43;0;0;5;;0;36;0;18;;0;0;43;4;;55;0;4;0;;0;0;43;0;;0;0;20;25;;31;0;0;18;;48;0;0;0;;64;0;0;0;;0;10;31;13;;0;31;9;0;;0;13;0;21;;1;0;38;0;;1;0;9;26;;26;1;10;0
VP from Commercial Structures;;0;0;8;0;;0;3;4;11;;4;0;0;7;;0;0;5;6;;0;0;5;4;;0;0;2;7;;0;6;4;0;;3;0;4;6;;2;6;2;2;;0;9;0;4;;0;8;5;9;;6;0;3;5;;0;0;0;3;;0;8;3;0;;2;0;3;5;;0;9;4;0;;5;4;5;5;;0;6;6;0;;9;4;0;3;;5;0;6;3;;0;3;0;17;;9;0;5;0;;5;4;3;4;;4;3;3;0;;3;0;7;0;;4;4;5;0;;3;8;0;7;;4;8;1;0;;0;0;5;0;;6;13;2;0;;10;0;0;4;;6;0;6;0;;7;0;6;5;;8;3;0;0;;0;9;2;2;;0;0;6;7;;0;0;7;0;;4;9;0;4;;13;3;0;5;;0;7;0;0;;0;6;6;3;;4;0;0;4;;4;0;0;0;;6;3;0;8;;6;3;0;5;;6;2;3;6;;4;0;0;3;;0;3;10;0;;0;0;10;5;;8;0;0;4;;5;4;0;0;;0;3;4;0;;4;3;0;0;;0;4;3;0;;0;3;0;3
VP from Guilds;;26;0;0;0;;0;10;13;5;;10;6;10;18;;0;12;10;7;;18;23;3;0;;17;13;0;16;;0;13;17;5;;9;6;0;15;;0;7;14;13;;25;0;0;15;;25;0;7;0;;10;12;8;0;;20;0;10;12;;12;8;24;0;;17;10;9;0;;8;15;15;7;;8;8;10;0;;9;22;0;8;;4;15;0;9;;11;0;11;10;;26;0;8;0;;9;0;0;30;;24;6;0;0;;0;16;13;0;;16;0;0;14;;5;9;15;8;;22;5;0;9;;10;0;16;0;;20;0;13;7;;6;6;12;0;;19;0;15;7;;0;16;14;8;;7;14;9;9;;10;16;0;0;;8;0;10;0;;0;8;0;7;;0;6;8;20;;8;8;15;13;;17;0;0;12;;0;7;11;0;;0;8;16;4;;6;0;12;5;;17;9;0;8;;0;8;15;5;;17;5;0;0;;8;7;4;0;;0;15;22;6;;8;7;12;6;;0;24;15;0;;20;8;0;6;;8;5;4;10;;13;0;7;0;;7;11;0;10;;21;8;19;0;;9;13;0;9
Constructed stages of the Wonder;;2;3;3;4;;1;3;3;2;;3;2;4;3;;0;2;2;3;;3;3;3;4;;3;4;2;2;;3;3;4;1;;3;2;3;3;;3;2;3;2;;2;3;2;4;;3;3;2;4;;2;3;4;3;;4;3;3;3;;2;3;4;3;;2;3;3;3;;3;3;4;3;;4;3;3;3;;2;3;3;2;;2;3;3;3;;2;3;3;3;;2;3;2;4;;2;1;2;3;;3;3;3;3;;2;2;3;2;;2;2;3;3;;2;3;2;3;;3;2;3;4;;4;3;3;0;;3;2;3;3;;3;4;2;2;;3;1;3;3;;3;2;2;4;;3;2;0;3;;4;3;3;3;;3;2;3;4;;2;3;4;3;;4;2;3;3;;3;2;2;3;;3;3;1;2;;1;3;3;3;;2;1;3;0;;4;3;3;2;;2;3;1;3;;0;3;3;2;;3;2;3;3;;3;2;3;1;;2;2;3;3;;1;3;3;2;;2;3;2;3;;2;3;3;3;;3;2;3;4;;3;2;4;3;;3;3;2;4;;3;2;3;3;;3;3;3;3
Cards discarded;;0;1;1;1;;0;1;1;0;;0;0;1;1;;0;1;0;0;;0;2;1;0;;0;0;1;0;;1;1;0;5;;0;0;3;0;;2;1;0;2;;0;1;1;0;;0;0;1;0;;0;2;2;1;;0;4;0;1;;0;1;1;1;;0;0;1;0;;1;1;0;3;;0;1;1;0;;1;1;0;1;;0;0;1;0;;2;0;0;0;;0;2;3;0;;0;0;0;0;;0;0;1;0;;0;1;0;1;;0;1;0;1;;0;0;2;1;;1;1;1;0;;1;1;0;1;;0;2;1;1;;0;0;0;2;;0;2;1;0;;0;0;1;2;;0;2;1;0;;0;0;0;1;;2;0;0;1;;1;0;0;2;;0;1;1;0;;0;1;0;3;;0;1;1;0;;2;0;1;1;;0;1;2;2;;0;0;1;0;;0;0;2;0;;0;0;2;0;;0;0;0;0;;0;0;2;0;;0;2;1;1;;2;1;1;2;;0;0;0;1;;0;0;1;1;;0;0;0;0;;0;3;0;2;;0;1;0;1;;0;0;0;1;;0;0;1;1
Chained constructions;;2;2;2;1;;5;1;0;3;;0;5;1;3;;6;2;3;3;;1;3;1;2;;5;1;2;0;;2;1;2;3;;2;0;4;3;;3;0;1;0;;0;3;3;0;;3;3;0;1;;1;4;2;1;;0;5;0;0;;1;0;0;4;;0;3;6;3;;0;2;1;1;;2;0;2;1;;5;0;3;1;;2;2;3;3;;2;3;0;1;;1;4;0;0;;2;5;3;1;;1;0;6;4;;6;3;0;3;;2;5;2;2;;5;1;0;1;;2;2;4;1;;1;4;4;4;;3;5;4;0;;4;2;2;7;;2;6;0;1;;3;4;1;2;;4;2;3;1;;3;3;3;1;;6;3;5;1;;6;0;1;0;;1;5;2;3;;0;0;4;0;;1;0;6;1;;7;1;1;2;;4;0;1;2;;1;6;1;4;;0;1;7;2;;6;1;2;4;;2;4;5;1;;2;1;5;3;;3;1;0;3;;6;0;2;1;;9;1;2;2;;3;0;4;0;;1;4;3;1;;1;3;1;4;;2;0;5;1;;1;1;2;4;;4;1;1;2
Coins spent on commerce;;16;21;16;10;;18;16;3;7;;28;20;5;13;;14;14;1;2;;2;11;19;12;;13;12;12;14;;6;5;9;16;;3;8;16;16;;14;6;10;6;;13;18;8;6;;6;22;11;8;;8;20;11;10;;9;15;2;11;;10;20;26;18;;24;8;7;16;;13;10;6;0;;11;14;15;4;;12;17;9;8;;5;7;2;8;;8;12;6;6;;9;12;10;8;;7;9;0;4;;14;11;8;10;;4;11;12;13;;4;10;16;9;;13;12;10;4;;6;8;14;8;;5;18;18;10;;16;13;12;3;;4;10;9;7;;14;9;0;10;;2;15;10;10;;26;10;10;10;;16;6;8;19;;14;11;12;8;;10;4;14;5;;10;12;10;11;;8;6;14;12;;8;4;5;12;;8;2;4;3;;13;4;18;5;;13;13;10;9;;8;4;8;6;;6;13;5;5;;13;8;6;10;;10;4;11;13;;10;12;15;20;;6;2;4;9;;16;10;3;6;;10;0;14;10;;6;8;18;7;;8;8;10;20;;5;9;6;8;;16;6;12;14;;6;12;15;8
Coins gained through commerce;;11;14;20;18;;17;16;9;2;;23;31;10;2;;13;2;14;2;;22;6;1;15;;6;17;20;8;;19;6;8;3;;22;10;2;9;;12;4;12;8;;8;6;10;21;;20;10;10;7;;19;8;11;11;;13;2;18;4;;24;20;14;16;;22;29;2;2;;4;9;6;10;;2;6;16;20;;17;12;8;9;;4;6;7;5;;7;4;10;11;;18;9;8;4;;4;1;9;6;;17;15;9;2;;13;7;10;10;;19;6;7;7;;12;2;21;4;;14;8;4;10;;28;10;5;8;;10;5;14;15;;18;6;5;1;;8;2;15;8;;4;2;10;21;;8;14;22;12;;19;18;6;6;;9;8;14;14;;13;6;8;6;;14;12;9;8;;18;8;8;6;;5;12;0;12;;0;7;6;4;;6;11;3;20;;11;8;13;13;;10;4;4;8;;9;9;2;9;;10;6;3;18;;11;12;11;4;;13;22;14;8;;2;6;9;4;;6;10;12;7;;12;12;8;2;;4;4;11;20;;11;19;12;4;;12;2;4;10;;12;14;8;14;;23;10;4;4
Shields;;5;2;7;8;;0;8;6;3;;5;4;2;7;;7;3;9;9;;5;6;5;0;;0;3;8;5;;3;5;1;0;;6;9;1;3;;2;11;3;5;;7;7;0;4;;6;0;9;7;;8;0;8;7;;2;0;6;8;;9;5;1;8;;7;4;3;6;;7;1;5;6;;8;6;1;6;;0;4;6;2;;5;3;11;3;;2;0;7;9;;5;0;9;6;;9;0;2;6;;6;7;3;8;;1;8;7;7;;7;1;2;6;;1;7;4;7;;6;8;2;2;;7;7;4;5;;7;7;1;3;;1;7;6;6;;2;6;4;8;;4;3;10;3;;3;5;2;9;;3;7;9;8;;3;8;9;6;;1;9;4;5;;7;0;4;2;;8;7;0;2;;6;4;0;10;;0;6;1;11;;0;8;1;7;;4;6;6;3;;9;6;8;3;;0;5;3;12;;7;9;1;5;;10;7;1;3;;4;8;5;3;;2;8;3;5;;3;2;7;6;;8;9;2;7;;10;1;6;7;;7;6;1;2;;5;7;0;1;;3;9;0;6;;0;7;5;7
Wonder side A;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;yes;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;yes;no;no;;no;no;no;yes;;no;no;no;yes;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;yes;no;;no;no;no;no;;no;no;yes;no;;no;no;no;yes;;no;yes;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;yes;;no;no;no;no;;no;no;no;yes;;no;no;no;no;;no;no;no;no;;no;no;no;no;;no;yes;no;no;;no;no;no;no;;no;no;no;no;;no;no;no;yes;;no;no;no;no;;no;no;no;yes;;no;no;no;yes;;yes;yes;yes;no;;no;no;yes;yes;;yes;no;no;no;;no;no;no;no;;no;no;no;no;;yes;no;no;yes;;no;no;no;no;;no;no;no;no;;no;no;no;no;;yes;yes;no;no;;no;no;no;yes;;yes;no;no;no
Wonder ID;;11;12;14;8;;8;13;10;11;;12;11;8;10;;8;11;12;10;;13;10;12;8;;10;8;14;11;;14;13;8;9;;10;11;9;14;;9;11;13;12;;11;9;14;8;;3;12;11;8;;11;14;8;10;;8;9;13;10;;11;9;8;13;;11;2;13;12;;12;10;8;6;;8;12;10;2;;14;10;12;11;;11;12;13;9;;11;12;10;13;;10;9;11;8;;11;9;7;13;;14;12;13;8;;14;10;6;11;;11;13;12;3;;14;1;9;13;;10;11;12;8;;8;9;12;14;;9;14;10;13;;9;8;13;12;;8;12;9;3;;13;12;11;8;;9;11;14;3;;8;10;14;12;;14;11;12;8;;12;13;8;10;;8;7;9;13;;13;11;12;14;;14;13;12;11;;12;13;14;2;;12;11;13;8;;8;12;13;7;;11;13;14;2;;7;1;2;11;;12;10;2;4;;4;13;14;9;;14;9;10;12;;14;13;8;11;;2;12;14;3;;11;13;14;9;;13;14;12;8;;12;14;8;9;;7;4;12;8;;12;11;10;2;;7;13;12;10
