Game result;;1st (66);2nd (55);3rd (55);4th (53);5th (37);;1st (63);2nd (61);3rd (53);4th (52);5th (51);;1st (58);2nd (50);3rd (50);4th (44);5th (43);;1st (59);2nd (56);3rd (53);4th (53);5th (49);;1st (65);2nd (63);3rd (44);4th (43);5th (43);;1st (60);2nd (56);3rd (54);4th (48);5th (47);;1st (61);2nd (43);3rd (42);4th (41);5th (32);;1st (66);2nd (58);3rd (57);4th (55);5th (49);;1st (71);2nd (59);3rd (53);4th (47);5th (46);;1st (61);2nd (61);3rd (58);4th (53);5th (51);;1st (67);2nd (59);3rd (43);4th (43);5th (40);;1st (65);2nd (55);3rd (51);4th (42);5th (35);;1st (64);2nd (56);3rd (55);4th (54);5th (42);;1st (62);2nd (49);3rd (49);4th (47);5th (46);;1st (69);2nd (51);3rd (51);4th (51);5th (49);;1st (60);2nd (55);3rd (52);4th (45);5th (40);;1st (61);2nd (54);3rd (52);4th (51);5th (38);;1st (67);2nd (57);3rd (53);4th (50);5th (47);;1st (65);2nd (56);3rd (55);4th (53);5th (49);;1st (59);2nd (51);3rd (49);4th (48);5th (47);;1st (66);2nd (54);3rd (47);4th (43);5th (34);;1st (55);2nd (55);3rd (50);4th (47);5th (47);;1st (60);2nd (54);3rd (54);4th (50);5th (33);;1st (54);2nd (52);3rd (51);4th (45);5th (40);;1st (79);2nd (71);3rd (56);4th (54);5th (45);;1st (60);2nd (59);3rd (54);4th (48);5th (41);;1st (55);2nd (54);3rd (50);4th (48);5th (46);;1st (57);2nd (50);3rd (48);4th (44);5th (35);;1st (55);2nd (54);3rd (47);4th (43);5th (41);;1st (65);2nd (53);3rd (47);4th (44);5th (43);;1st (70);2nd (60);3rd (59);4th (51);5th (35);;1st (64);2nd (54);3rd (52);4th (50);5th (41);;1st (57);2nd (57);3rd (52);4th (48);5th (46);;1st (58);2nd (58);3rd (50);4th (49);5th (45);;1st (65);2nd (64);3rd (62);4th (48);5th (46);;1st (63);2nd (50);3rd (42);4th (38);5th (36);;1st (74);2nd (64);3rd (55);4th (55);5th (50);;1st (61);2nd (54);3rd (52);4th (51);5th (48);;1st (54);2nd (44);3rd (43);4th (41);5th (38);;1st (67);2nd (60);3rd (56);4th (46);5th (45);;1st (60);2nd (58);3rd (49);4th (39);5th (33);;1st (58);2nd (55);3rd (53);4th (44);5th (41);;1st (61);2nd (59);3rd (52);4th (52);5th (51);;1st (60);2nd (53);3rd (47);4th (46);5th (44);;1st (57);2nd (54);3rd (53);4th (43);5th (41);;1st (59);2nd (56);3rd (48);4th (45);5th (36);;1st (60);2nd (53);3rd (46);4th (42);5th (39);;1st (58);2nd (47);3rd (44);4th (43);5th (41);;1st (62);2nd (59);3rd (55);4th (54);5th (46);;1st (68);2nd (53);3rd (52);4th (43);5th (37);;1st (57);2nd (54);3rd (51);4th (50);5th (50);;1st (59);2nd (59);3rd (56);4th (52);5th (47);;1st (63);2nd (55);3rd (51);4th (50);5th (49);;1st (71);2nd (59);3rd (48);4th (46);5th (42);;1st (67);2nd (57);3rd (56);4th (54);5th (46);;1st (55);2nd (52);3rd (51);4th (51);5th (41);;1st (65);2nd (60);3rd (58);4th (46);5th (46);;1st (57);2nd (50);3rd (49);4th (47);5th (43)
Thinking time;;05:00;03:40;05:33;03:58;03:47;;06:24;04:11;04:39;05:28;04:59;;03:21;05:18;03:39;03:27;04:30;;03:20;03:49;03:53;03:50;03:41;;04:39;03:10;03:12;04:41;03:38;;04:14;05:05;05:32;03:57;06:24;;07:21;04:03;03:08;05:00;05:33;;06:31;03:23;03:57;04:19;05:03;;04:02;04:21;02:42;02:52;02:52;;05:19;06:31;05:41;03:01;05:09;;03:54;03:25;04:10;04:20;05:05;;03:32;04:11;03:09;04:32;03:34;;04:55;03:36;05:37;04:34;04:24;;06:41;03:08;03:08;05:45;08:01;;03:54;05:58;03:30;05:54;03:41;;03:20;03:19;04:54;03:34;03:52;;04:30;04:08;03:23;04:59;07:10;;03:37;04:18;05:14;04:34;03:51;;04:17;04:05;03:35;03:48;05:01;;03:17;03:09;04:31;04:09;04:09;;03:26;04:45;03:38;03:26;03:43;;04:03;04:56;02:32;06:43;04:47;;04:39;04:12;05:31;04:35;03:38;;04:07;03:46;05:50;05:02;04:38;;03:15;02:31;02:36;03:39;03:20;;05:02;06:42;05:24;04:42;05:46;;05:32;04:52;04:58;04:53;05:12;;03:03;03:23;04:18;04:26;03:23;;04:36;05:24;05:04;03:08;03:03;;02:53;06:05;04:55;04:39;02:43;;03:46;03:58;04:49;04:35;05:02;;03:37;03:52;03:34;03:22;03:04;;03:19;06:09;06:18;03:51;05:24;;04:15;03:32;03:51;04:36;03:05;;05:12;03:46;05:46;03:35;03:20;;04:00;03:29;05:25;03:14;03:49;;02:48;03:20;02:07;04:07;02:42;;03:47;04:20;03:24;03:29;02:53;;03:49;04:08;04:11;03:37;03:32;;03:59;04:00;05:08;02:37;04:55;;03:52;03:26;04:11;04:20;03:50;;03:56;03:42;03:51;04:49;03:25;;04:37;03:47;02:16;02:30;02:49;;03:50;02:49;02:39;03:48;03:06;;04:47;03:34;02:52;02:51;03:53;;04:34;04:05;04:59;02:59;04:21;;04:22;05:39;03:44;06:24;04:44;;03:01;05:07;04:24;04:26;03:49;;02:59;04:22;04:58;03:54;02:27;;04:26;06:03;04:42;04:46;04:36;;02:23;06:29;04:08;05:39;04:05;;05:10;04:21;05:01;04:38;03:26;;06:33;04:50;06:10;05:48;05:06;;04:11;04:48;04:34;04:05;04:55;;05:31;03:01;05:52;04:47;04:42;;03:40;04:05;03:25;05:11;04:57;;03:41;03:25;05:12;05:07;03:31;;03:22;03:58;03:34;04:24;03:59
VP from Military Conflicts (Victory);;10;16;16;0;2;;15;13;0;0;8;;0;10;16;8;9;;0;17;9;0;5;;10;16;3;14;0;;16;0;13;0;10;;14;9;0;13;5;;16;14;12;1;1;;16;13;0;10;1;;13;12;0;10;5;;18;18;0;0;0;;11;18;11;0;3;;16;14;1;11;0;;8;8;8;9;1;;16;1;0;15;9;;14;0;16;0;6;;9;13;14;0;0;;3;10;17;7;6;;4;5;2;16;16;;17;8;0;15;1;;0;9;8;9;5;;10;10;3;0;14;;18;0;10;12;0;;6;11;6;13;6;;0;18;18;0;9;;8;5;9;5;18;;18;14;3;0;9;;16;14;0;4;6;;12;1;5;0;13;;16;0;0;8;10;;18;9;0;14;0;;18;0;9;13;1;;9;0;13;8;9;;16;4;13;0;6;;1;12;18;8;0;;17;18;0;5;0;;18;0;15;12;0;;13;3;5;12;1;;3;15;9;0;7;;17;10;9;4;3;;18;17;0;0;0;;13;5;12;8;0;;0;12;5;10;4;;10;0;8;13;9;;17;16;0;10;0;;5;3;12;14;0;;4;5;13;9;10;;11;14;11;0;6;;18;12;5;4;5;;16;18;1;5;1;;0;16;9;9;8;;18;8;13;3;1;;18;4;8;4;10;;0;5;12;8;14;;16;13;1;0;14;;10;18;3;3;9;;0;9;9;13;11;;6;6;10;11;3
VP from Military Conflicts (Defeat);;-2;-2;-1;-5;-4;;0;0;-5;-5;-2;;-6;-2;-1;-2;-2;;-6;0;0;-3;0;;-2;-1;-3;-1;-6;;0;-3;-1;-5;-2;;0;-1;-6;-1;-5;;-2;-1;-1;-5;-5;;-1;-1;-5;-2;-3;;-1;-1;-6;-2;-2;;0;0;-6;-3;-3;;-2;0;-2;-5;-4;;0;-1;-4;-3;-4;;-4;0;-2;-2;-4;;-1;-5;-5;0;-2;;0;-5;-1;-2;-2;;0;-1;-2;-5;-4;;-4;-3;0;-3;-3;;-3;-4;-4;-1;-1;;0;-3;-6;0;-4;;-6;-1;0;-2;-2;;-1;-1;-4;-4;-1;;0;-6;-1;-2;-5;;-3;-1;-4;-1;-3;;-6;0;0;-6;-3;;-2;-5;-3;-5;0;;0;-1;-4;-6;-3;;-1;0;-5;-2;-4;;-1;-3;0;-2;-3;;0;-3;-3;-1;-1;;0;-1;-6;0;-6;;0;-4;-3;-1;-5;;-2;-6;0;-1;-2;;0;-3;-3;-3;-2;;-5;0;0;-3;-5;;0;0;-4;-3;-5;;0;-6;-1;-2;-6;;-3;-3;-1;-1;-2;;-4;0;-1;-6;-1;;0;-3;-3;-3;-4;;0;0;-3;-2;-6;;0;-3;-1;-2;-6;;-3;-1;-2;-1;-4;;-2;-6;-3;0;-1;;0;-1;-6;-2;-4;;-3;-2;0;0;-5;;-3;-5;-2;-2;-1;;-1;-1;-3;-4;-3;;0;-1;-5;-3;-5;;-2;0;-3;-3;-5;;-5;0;-2;-2;-3;;0;-3;-2;-4;-4;;0;-3;-3;-4;-4;;-3;-3;-1;-3;-1;;-1;-1;-5;-5;-2;;-2;0;-4;-4;-3;;-6;-2;-2;-1;-1;;-2;-4;0;-2;-2
VP from Treasury Contents;;0;6;4;1;4;;7;3;9;6;0;;2;4;4;4;6;;2;3;7;6;1;;7;3;5;1;1;;7;4;2;1;5;;1;0;6;1;6;;10;4;5;4;3;;1;4;10;2;5;;6;5;4;3;5;;8;2;2;1;3;;5;9;1;6;4;;2;9;3;5;3;;2;4;4;6;9;;13;3;3;2;1;;4;1;2;7;6;;7;6;3;4;2;;9;4;2;5;6;;10;3;5;6;4;;10;4;4;4;7;;5;1;4;2;2;;2;0;6;5;4;;4;7;4;1;10;;3;2;4;4;2;;3;5;7;8;1;;3;3;1;11;2;;5;10;3;4;5;;0;9;3;0;0;;4;5;2;6;5;;2;2;11;4;3;;5;4;4;8;1;;9;10;4;1;1;;6;4;11;1;2;;6;1;2;6;7;;1;7;3;8;6;;3;2;2;3;11;;4;3;4;3;9;;2;8;6;5;3;;7;6;2;5;7;;5;1;3;9;3;;8;2;2;0;1;;6;11;1;2;2;;6;6;5;4;5;;7;3;5;2;4;;5;4;5;2;2;;2;7;1;2;4;;4;1;7;7;5;;2;1;1;10;3;;0;10;4;4;6;;10;4;3;7;1;;10;0;6;4;2;;7;3;5;1;5;;9;3;2;0;6;;0;4;3;9;2;;5;0;6;6;5;;4;2;6;4;8;;4;5;4;4;2;;11;5;4;3;2
VP from Wonder;;0;7;15;7;5;;13;7;3;3;10;;10;5;8;7;7;;2;7;7;3;5;;3;5;3;13;0;;3;3;5;10;10;;3;10;15;10;5;;5;10;7;3;3;;3;7;20;5;3;;7;7;10;20;5;;10;3;20;3;7;;0;10;10;3;5;;13;3;3;10;3;;3;7;5;10;3;;10;10;7;3;10;;10;3;10;10;3;;10;7;7;5;3;;10;20;7;10;5;;3;10;20;3;7;;7;3;3;7;10;;3;3;20;5;0;;7;3;0;5;10;;3;10;20;5;7;;3;20;10;5;3;;2;20;7;3;5;;10;0;10;7;10;;7;5;20;10;7;;0;15;7;3;5;;5;7;5;20;3;;7;3;10;5;0;;7;8;3;10;0;;7;10;5;3;13;;7;3;10;7;3;;7;3;0;3;5;;5;5;7;3;20;;3;0;10;10;2;;13;2;7;7;3;;3;3;10;7;5;;7;3;10;10;7;;7;0;3;7;3;;5;3;13;10;0;;7;20;7;5;5;;3;7;0;7;10;;10;2;20;7;5;;5;10;7;3;10;;3;3;5;20;7;;10;3;7;3;5;;5;3;0;5;13;;7;10;3;20;5;;10;10;3;13;3;;5;3;3;3;5;;7;20;5;3;3;;5;3;7;7;13;;3;20;5;7;10;;7;0;5;10;7;;3;3;5;3;0;;3;10;5;7;3;;20;10;3;7;3
VP from Civilian Structures;;6;19;8;12;21;;10;31;16;6;7;;4;12;11;16;8;;5;7;25;26;16;;8;32;30;0;6;;7;14;24;16;11;;17;12;21;0;6;;5;6;25;4;21;;9;19;8;27;4;;21;10;16;14;10;;0;27;19;6;25;;0;15;27;20;13;;26;17;8;6;4;;26;22;16;6;4;;8;25;7;0;21;;19;3;14;25;3;;8;27;13;11;12;;0;13;9;21;21;;0;14;23;13;23;;6;10;11;22;21;;0;34;6;14;4;;22;5;7;29;10;;11;4;14;22;8;;0;9;22;15;16;;4;23;10;8;16;;10;6;26;16;7;;13;8;0;11;25;;17;6;3;20;19;;16;24;14;8;7;;21;13;11;20;3;;26;20;4;14;9;;18;2;10;17;16;;18;10;6;21;3;;20;0;29;3;18;;8;17;13;0;21;;0;30;18;12;5;;14;10;23;23;0;;0;36;12;5;18;;22;16;19;14;4;;12;9;25;17;6;;17;16;5;18;12;;13;6;9;14;16;;4;9;7;30;23;;10;17;11;13;9;;14;17;6;23;16;;9;16;12;9;28;;27;8;12;16;5;;15;4;9;17;19;;4;14;0;22;17;;12;10;8;14;30;;11;10;24;9;12;;11;16;4;15;6;;12;6;20;18;21;;3;8;16;22;15;;18;27;20;0;6;;33;21;4;4;14;;6;9;13;13;22;;10;12;16;23;9
VP from Scientific Structures;;43;0;0;29;0;;0;0;0;36;26;;48;0;0;0;2;;55;1;0;0;0;;1;0;0;10;31;;13;31;0;26;2;;13;13;0;18;1;;0;0;0;31;26;;43;0;0;0;25;;0;25;31;0;0;;0;1;1;31;1;;34;0;1;0;0;;0;0;36;16;25;;13;0;0;9;16;;0;4;36;31;0;;0;48;0;0;4;;0;0;0;36;13;;48;0;0;0;0;;31;2;0;2;0;;0;16;16;0;9;;48;0;0;0;10;;0;38;31;0;0;;0;36;0;0;0;;36;0;13;0;16;;76;0;0;10;0;;13;50;0;0;4;;0;0;0;21;0;;16;0;25;9;0;;10;10;4;0;0;;0;26;1;0;28;;0;0;47;0;31;;0;18;9;17;0;;0;43;0;0;18;;0;48;9;31;0;;55;0;0;13;0;;25;0;10;4;10;;0;55;0;0;26;;38;4;10;0;0;;0;0;4;18;0;;0;43;9;0;21;;0;16;0;4;26;;0;0;13;0;17;;48;0;16;0;13;;9;31;0;1;0;;0;0;38;0;9;;43;9;0;0;0;;18;36;0;1;4;;0;16;18;10;0;;10;0;48;0;0;;0;0;25;4;0;;0;25;0;18;18;;0;0;0;31;26;;0;31;0;10;0;;64;0;0;0;0;;1;0;4;43;1;;0;0;9;38;0;;55;13;0;10;4;;0;2;1;0;21
VP from Commercial Structures;;2;3;0;0;4;;11;0;5;0;2;;0;9;2;3;0;;1;6;5;8;0;;9;0;6;0;2;;3;2;0;0;3;;0;0;6;0;0;;0;10;2;7;0;;0;2;4;0;4;;7;3;3;0;5;;6;2;0;0;7;;0;3;3;11;3;;7;7;0;3;5;;0;0;2;3;17;;8;4;3;0;4;;3;0;0;5;4;;3;2;2;0;4;;1;4;4;5;0;;6;0;9;6;0;;9;6;6;0;0;;6;0;9;0;0;;0;0;0;6;4;;3;3;0;2;13;;3;4;0;3;0;;0;5;4;9;3;;4;0;0;10;0;;3;0;4;0;3;;0;6;5;4;0;;3;3;3;6;7;;0;4;8;5;0;;2;3;0;5;0;;4;8;6;0;3;;3;3;4;4;0;;4;2;0;3;0;;0;7;0;10;4;;0;0;6;0;9;;3;0;3;4;9;;0;3;0;9;3;;3;4;0;0;4;;5;0;4;8;2;;7;4;4;3;0;;5;11;0;3;0;;3;6;9;2;0;;0;0;6;0;11;;0;8;3;0;0;;0;9;0;0;2;;0;5;0;3;6;;0;3;0;5;3;;3;8;0;4;6;;3;3;0;3;7;;5;0;5;9;0;;2;5;4;3;0;;3;4;2;0;3;;0;6;0;3;2;;5;4;8;0;3;;7;0;8;3;5;;3;4;3;0;0;;8;5;9;0;0
VP from Guilds;;7;6;13;9;5;;7;7;25;6;0;;0;12;10;8;13;;0;15;0;13;22;;29;8;0;6;9;;11;5;11;0;8;;13;0;0;0;14;;32;15;7;10;0;;0;15;16;5;7;;8;0;0;8;23;;25;6;7;5;0;;17;0;0;7;11;;0;7;8;6;6;;14;8;16;6;0;;15;9;0;0;6;;10;5;11;0;16;;24;0;15;0;8;;0;9;14;5;12;;14;26;0;8;0;;10;7;15;0;3;;10;8;0;15;15;;15;0;7;6;6;;21;0;7;10;0;;6;7;0;6;0;;0;0;10;22;14;;14;0;11;4;0;;9;18;24;8;0;;9;0;10;6;9;;6;7;14;5;9;;19;8;9;3;0;;12;17;7;0;0;;8;10;12;0;12;;16;0;8;8;13;;5;3;0;6;11;;0;16;21;9;0;;15;0;0;7;4;;22;0;4;8;9;;8;0;10;14;20;;16;0;0;0;10;;21;0;6;4;11;;5;0;28;6;0;;14;5;12;14;7;;0;20;12;0;0;;16;6;0;10;7;;16;0;0;7;8;;0;11;18;0;0;;0;0;9;5;5;;26;7;8;0;0;;20;6;0;3;12;;19;8;15;0;0;;31;0;6;0;8;;14;10;27;0;10;;16;7;15;15;0;;4;19;13;0;0;;16;14;17;0;12;;0;8;20;0;8;;0;12;26;0;5;;4;14;6;5;7
Constructed stages of the Wonder;;0;2;3;3;3;;3;2;2;3;3;;3;3;2;2;3;;1;3;2;2;3;;2;3;1;3;2;;3;3;3;3;3;;2;3;3;3;2;;3;3;2;3;2;;2;2;4;3;3;;2;3;3;4;3;;3;2;4;3;3;;1;3;3;3;3;;3;1;2;3;3;;3;2;3;3;3;;3;3;3;3;3;;3;1;3;3;2;;3;3;2;2;3;;3;4;2;3;3;;2;3;4;2;2;;3;3;3;2;3;;3;3;4;3;2;;2;3;2;3;3;;3;3;4;2;2;;3;4;3;3;2;;1;4;2;3;3;;3;0;3;3;3;;3;3;4;3;2;;0;3;3;3;3;;3;3;2;4;2;;2;2;3;3;1;;2;2;3;3;1;;2;3;2;1;3;;3;3;3;2;3;;2;2;0;3;3;;2;3;2;3;4;;3;0;3;3;1;;3;1;3;2;3;;3;3;3;2;3;;3;1;3;3;2;;2;0;2;3;2;;3;1;3;3;2;;2;4;3;3;2;;3;2;0;3;3;;3;1;4;3;3;;2;3;3;2;3;;2;3;3;4;2;;3;2;2;3;3;;2;3;2;2;3;;3;3;3;4;3;;3;3;2;3;3;;2;2;1;3;2;;2;4;3;3;3;;3;2;2;3;3;;2;4;3;3;3;;2;0;3;3;3;;1;1;2;3;2;;3;3;3;2;3;;4;3;3;3;2
